Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Price,Year_gap
1,1360,5,4,3,1970,149919,56
2,4272,5,4,3,1958,424998,68
3,3592,2,2,3,1938,266746,88
4,966,4,2,2,1902,244020,124
5,4926,1,4,2,1975,636056,51
6,3944,1,2,1,1906,93262,120
7,3671,1,1,2,1948,448722,78
8,3419,2,4,1,1925,594893,101
9,630,2,2,1,1932,652878,94
10,2185,3,3,1,2000,340375,26
11,1269,1,4,2,1947,653685,79
12,2891,4,4,3,1978,127123,48
13,2933,4,3,2,1901,849947,125
14,1684,1,1,1,2004,399355,22
15,3885,1,3,1,1970,481838,56
16,4617,1,4,2,1931,853032,95
17,3404,2,1,1,1903,208964,123
18,974,2,2,1,1919,905742,107
19,1582,2,2,2,2013,989305,13
20,3058,5,2,2,2016,218767,10
21,2547,4,4,2,1935,996357,91
22,3247,4,3,1,1931,709789,95
23,1475,3,1,1,1927,709966,99
24,2306,2,2,3,1976,447694,50
25,689,5,1,3,1900,688668,126
26,3234,5,4,2,1959,527032,67
27,3505,4,2,3,1955,745494,71
28,2399,2,4,1,1934,513179,92
29,1767,3,3,3,2011,948212,15
30,2028,2,4,1,1929,206547,97
31,3702,1,4,2,1953,902609,73
32,4056,2,3,2,1935,727090,91
33,4390,1,1,1,2020,202185,6
34,1146,1,3,3,1954,725371,72
35,3388,3,3,2,1988,105746,38
36,2935,4,4,2,1979,959507,47
37,1100,2,1,3,1957,748213,69
38,2863,1,2,3,1982,921627,44
39,2561,2,3,1,1964,873250,62
40,741,4,1,3,1968,218393,58
41,2541,4,3,3,1950,333453,76
42,3324,5,3,3,1921,986192,105
43,3112,4,3,1,1987,340320,39
44,1863,3,3,1,2006,643167,20
45,1978,1,4,2,2008,641880,18
46,3056,5,1,1,2015,396872,11
47,1275,3,1,2,2000,270084,26
48,4514,2,1,3,1952,976920,74
49,534,1,3,2,1999,771782,27
50,3652,4,4,2,1935,845016,91
51,2455,1,3,3,1967,698843,59
52,2085,2,3,2,1935,405446,91
53,4443,5,1,1,1951,958840,75
54,3573,5,3,1,1952,593118,74
55,1521,5,2,1,1981,266897,45
56,3961,4,3,1,1949,826522,77
57,3113,3,2,2,1979,913498,47
58,4343,3,3,2,1940,840023,86
59,2000,1,4,3,1917,143878,109
60,661,4,4,2,1921,175407,105
61,4797,5,1,2,1965,691157,61
62,2481,5,3,2,1920,307716,106
63,1495,2,2,3,1999,857827,27
64,3842,2,2,1,1943,66738,83
