Point,X,Y
P1,27.235213688550548,29.308678494144075
P2,27.914598421453118,37.61514928204013
P3,23.94630981374499,28.8293152152541
P4,32.10645766978326,33.837173645764544
P5,22.887365263292715,32.712800217929825
P6,22.91462038234392,27.671351232148716
P7,26.088830222047154,20.43359877671101
P8,17.237869753691353,27.188562353795135
P9,20.442259958495093,31.571236662976368
P10,20.91389166015455,22.938481493323543
P11,31.595419460146992,28.871118497567323
P12,25.303876921095657,22.87625906893272
P13,22.550277739636677,30.55461294854933
P14,19.820528901599637,31.87849009172836
P15,22.297125895365376,28.541531251033618
P16,22.292320244967712,39.26139092254469
P17,24.939262488679297,24.711445355220498
P18,28.70145210446435,23.895781750144888
P19,25.939886177521398,20.201649380601122
P20,19.02316277995706,30.984306179345616
P21,28.323099609979348,30.85684140594985
P22,24.47958272925292,28.494481522053555
P23,18.346651043346576,26.400778958026457
P24,22.927125530680957,35.285611131094576
P25,26.546282303058078,21.18479922318633
P26,26.458377862276578,28.074588597918417
P27,21.953850998623185,33.058381444204336
P28,29.63949785123178,34.65640059558099
P29,21.223521145498125,28.453938120743928
P30,26.49068544131604,34.877725635611796
P31,22.843715929696195,29.071705116680914
P32,20.02149261697287,24.018966879596647
P33,28.656366200773892,36.78120014285412
P34,24.675954452888497,35.01766448946012
P35,26.627362112714355,26.77440122697438
P36,26.626280224787862,37.690182832329846
P37,24.838782824005218,37.82321827907003
P38,13.21114703159615,34.10951252187612
P39,25.391711807071772,28.504963247670663
P40,25.41292349440976,20.062155426995538
P41,24.011476504731196,31.78556285755873
P42,31.650523201336824,27.40864890863176
P43,21.361778786980658,27.491214782077318
P44,29.119309529659333,31.643755548298422
P45,22.616079083048326,32.56633716556678
P46,25.436848972066183,34.84322495266444
P47,21.840761077551914,28.361689267011158
P48,23.23551331090529,22.682425259339407
P49,26.33254124679059,31.305276360899448
P50,25.023010554891073,28.827064333124266
P51,18.630831660773136,27.896773386173205
P52,23.457784675629537,25.988613653891903
P53,24.274214297502958,32.02025428407269
P54,33.48783655544739,30.872889064159196
P55,26.15897675825244,29.627770421169163
P56,16.365529531154316,29.867430622753915
P57,25.27103594473462,42.316210562426434
P58,24.13437565848495,31.507736711668063
P59,24.843797036326404,24.15660981190234
P60,30.142702665317593,33.75966516343387
P61,28.55964376169371,25.453062726026303
P62,31.312574399212444,22.990744686038596
P63,27.640856922101214,40.952278129049894
P64,20.5425865369119,27.16851135198614
P65,25.448431142894385,27.482621729419005
P66,18.022014560202404,30.342814874030136
P67,20.21963328823253,32.36796215317591
P68,20.862590945947886,37.7496720250877
P69,21.475360184486934,28.38969241897162
P70,28.660827478163515,23.845678417830225
P71,26.023569705718582,36.53571377141214
P72,17.766325444474475,30.92316929266152
P73,26.169472574117904,33.909114358886555
P74,19.43372180104863,23.397716934578618
P75,27.34873704527604,31.48492336616593
P76,26.127217826556446,31.732241047484877
P77,21.939888752896792,31.161268485805017
P78,26.318826129844066,26.42824290986816
P79,33.3959853001514,32.36916460455894
P80,19.63913426258808,33.28276804316915
P81,20.613932483977052,33.93542301871226
P82,30.213680105533317,25.89658840824145
P83,29.335192581599447,32.063904634682494
P84,28.699270719975203,39.48396491326974
P85,23.895753477987082,26.23131917821255
P86,20.997185066685145,25.920948575172808
P87,24.653042307636532,31.70575987408322
P88,26.245108596985087,34.13591624518012
P89,25.058508513450583,37.26767038578659
P90,23.8090442504292,43.600845832948096
P91,27.81550306494253,25.714212217918586
P92,20.180983758724995,32.41236207621593
P93,23.99441746603367,33.57000247046046
P94,27.12956931058095,29.635855436715637
P95,21.18942826869218,22.425763876570677
P96,22.990682715698405,34.28199397161736
P97,25.963421848585917,23.771306106440058
P98,25.77931416633032,31.926586898644185
P99,21.022641537094902,30.76862552972764
P100,25.261939233007,24.285148510846884
P101,26.610043121567276,32.803922631841175
P102,29.873730594288745,35.26901026017451
P103,18.80048784419309,25.310874800424386
P104,27.31765870243897,32.56892975456105
P105,27.317714588377214,49.26365745327361
P106,27.569007298119253,35.677828200902994
P107,29.29300793571941,33.25695625652899
P108,23.581288399118446,33.79484610246634
P109,21.522286534580928,28.815906966299956
P110,22.815864034769035,30.409370696931614
P111,35.41596355003079,20.66367403704126
P112,28.08817085668531,21.936420644051744
P113,22.876306603947548,35.44475298483683
P114,25.289260085929584,24.61127611035347
P115,21.781133308330144,33.39798874467338
P116,21.713350157272885,31.082292947909874
P117,25.205073279567163,26.741998261970913
P118,34.647748401963966,33.169595111590056
P119,15.886858360040767,30.93227157384714
P120,22.021960908542255,34.26216667398112
P121,21.43365667705285,29.426317792665504
P122,27.272442755412058,34.32877597085061
P123,19.598666168249007,28.327493820795258
P124,22.8627460997757,26.73335383713144
P125,32.94454408126494,32.024908554804774
P126,19.326022205492297,34.58930973527388
P127,34.54970288655685,35.16232630275574
P128,18.16283515320694,27.578829635668743
P129,30.701100171339803,26.461652671906094
P130,26.997187426658027,33.87317026714668
P131,20.828812877898628,29.702373219691
P132,10.414296969689174,24.878061793328552
P133,23.863443318730777,23.761084090175753
P134,32.345850867692356,22.849293110196836
P135,23.019799809863574,30.653702886430455
P136,31.48572980079752,22.8206892441028
P137,30.234236884697317,30.051165305097935
P138,20.58321107028422,32.31051737131635
P139,25.895768630080614,26.998915614206027
P140,25.314109382455086,28.0734320156912
P141,25.510828053630615,33.31065337260523
P142,32.137075672654085,23.810922505865754
P143,34.598650185953204,20.23956100238749
P144,24.316967072339875,32.94158603242288
P145,26.264463404807646,26.88650240089703
P146,24.063449873392262,27.534995326705836
P147,22.34785859375105,34.24801048510513
P148,26.606569686842715,26.535452023696728
P149,29.04819943944963,31.536497604383047
P150,28.65787953477532,33.14814420961806
P151,21.269522450850676,27.199094799015153
P152,28.362821223054677,33.05185132716733
P153,24.905942827161333,30.58663691654391
